Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,Deepa Ranganathan,"Rated 1.0 out of 5,",3 years ago,A worst food service i could have foodCombo food chappatis were so cold and gravy were not hot to be servedNo proper response on asked for water or any other service for customerVery poor customer careThe worst ever people i could seeWho run a restaurant and do not entertain the customer who come to eat trusting the serviceThe servers are worthless when asked for any help they just are blank and dnt respond backWorst service ...I strongly insist on changing the attitude and food serviceI strongly regret people not to go to this resturantI hope the food are neatly prepare nad not like wat they have their attitudes
Google,Lassiwala Dhaba,isaac selvin raj,"Rated 5.0 out of 5,",a year ago,"The best budget restaurant in our neighborhood. Great ambience, good food and good friendly staff."
Google,Lassiwala Dhaba,Mary,"Rated 5.0 out of 5,",a year ago,The Chinese food are very delicious here.. no disappointment here.. lassi also is very awesome
Google,Lassiwala Dhaba,Ajit Kumar,"Rated 5.0 out of 5,",4 years ago,"Very nice tasty food Near to home made!!!Cost aspect, if they can reduce some more by giving out combos, they can make good business in quantity. Just my thought!!"
Google,Lassiwala Dhaba,Ajay Luther,"Rated 5.0 out of 5,",5 years ago,Extremely Authentic at a great price. Really gives you a homemade feel! The yellow Dal really deserves a special mention!Keep it up guys!
Google,Lassiwala Dhaba,Lokesh Ganesan,"Rated 5.0 out of 5,",a year ago,Excellent taste and value for money. Prefer for small family dine inn
Google,Lassiwala Dhaba,Rajeshwari Swaminathan,"Rated 5.0 out of 5,",3 years ago,Lovely place to have authentic Punjabi tikka platter with a mug of lassi..earthen appeal of the place makes for a good ambience..a must try
Google,Lassiwala Dhaba,Praveen Kumar,"Rated 4.0 out of 5,",2 years ago,Awesome hotel and loved the taste of the food served.. Chinese items are so good and kids would definitely enjoy..
Google,Lassiwala Dhaba,Santhosh C-Va,"Rated 5.0 out of 5,",a year ago,Taste is better than big hotels and price also cheap
Google,Lassiwala Dhaba,Shivam Kumar,"Rated 5.0 out of 5,",a year ago,"Ambience is good especially north indian foods is awesome,lassi is good"
Google,Lassiwala Dhaba,nand lal chandra,"Rated 4.0 out of 5,",2 years ago,loved the Lassi of this place but taste of food can be better. This branch is better than the branch near to Tambaram station.
